cosine_similarity,entity_overlap,length_ratio,sentence_count_ratio,section_coverage,verbatim_copy_rate,trailing_specificity,constraint_count,role_pronoun_rate,novel_api_rate,function_name_preserved,signature_param_diff,nli_contradiction_max,nli_entailment_mean,task_id,source,corruption_type,label
0.8602300882339478,0.8125,3.0186915887850465,4.833333333333333,1.0,0.05625,0.20618556701030927,0.6542056074766356,0.0,0.9523809523809523,0.5,0.0,0.14222988486289978,0.0737309530377388,task_084,hand_hard,inject_false_constraint,0
0.8602300882339478,0.8125,3.0186915887850465,4.5,1.0,0.06206896551724138,0.041237113402061855,1.1214953271028039,0.0,0.9230769230769231,0.5,0.0,0.14222988486289978,0.0737309530377388,task_084,hand_hard,fake_completion,0
0.6006420850753784,0.08333333333333333,4.6,4.5,1.0,0.0,0.14285714285714285,1.4285714285714286,0.0,1.0,0.5,0.0,0.9994851350784302,0.03714821860194206,he_030,humaneval,signature_rename,0
0.6345686316490173,0.08333333333333333,4.6,4.5,1.0,0.0,0.10204081632653061,1.7142857142857142,0.0,1.0,0.5,0.0,0.9994851350784302,0.017598630860447884,he_030,humaneval,inject_false_constraint,0
0.6017835736274719,0.08333333333333333,4.6,6.0,1.0,0.0,0.02040816326530612,2.0,0.0,1.0,0.5,0.0,0.9994851350784302,0.017598630860447884,he_030,humaneval,fake_completion,0
0.5974435806274414,0.2,4.34375,8.5,1.0,0.0,0.3333333333333333,1.25,0.0,1.0,0.5,0.0,0.9931265115737915,0.08241034299135208,he_031,humaneval,signature_rename,0
0.5773428678512573,0.2,4.34375,7.5,1.0,0.0,0.16666666666666666,1.5625,0.0,1.0,0.5,0.0,0.9931265115737915,0.07642720639705658,he_031,humaneval,inject_false_constraint,0
0.544815182685852,0.2,4.34375,8.5,1.0,0.0,0.07142857142857142,2.5,0.0,1.0,0.5,0.0,0.9931265115737915,0.07642720639705658,he_031,humaneval,fake_completion,0
0.6412527561187744,0.631578947368421,3.863013698630137,12.5,0.8,0.040892193308550186,0.2,0.547945205479452,0.0,1.0,0.5,0.0,0.9931125044822693,0.004746634978801012,he_033,humaneval,signature_rename,0
0.6630579233169556,0.6842105263157895,3.863013698630137,12.5,0.8,0.06319702602230483,0.2,0.684931506849315,0.0,1.0,0.5,0.0,0.9931125044822693,0.004079094622284174,he_033,humaneval,inject_false_constraint,0
0.6630579233169556,0.6842105263157895,3.863013698630137,12.5,0.6,0.06589147286821706,0.03529411764705882,1.5068493150684932,0.0,1.0,0.5,0.0,0.9931125044822693,0.004079094622284174,he_033,humaneval,fake_completion,0
0.5231927037239075,0.3333333333333333,5.260869565217392,12.0,1.0,0.0,0.1891891891891892,0.4347826086956522,0.0,1.0,0.5,0.0,0.36779215931892395,0.14020191133022308,he_034,humaneval,signature_rename,0
0.5647820234298706,0.3333333333333333,5.260869565217392,9.0,1.0,0.0,0.08108108108108109,0.8695652173913044,0.0,1.0,0.5,0.0,0.26580631732940674,0.14294391870498657,he_034,humaneval,inject_false_constraint,0
0.5037684440612793,0.1111111111111111,5.260869565217392,8.0,1.0,0.0,0.05405405405405406,0.8695652173913044,0.0,1.0,0.5,0.0,0.26580631732940674,0.14294391870498657,he_034,humaneval,fake_completion,0
0.6595308780670166,0.1,3.4583333333333335,2.5,1.0,0.0,0.08,0.8333333333333334,0.0,1.0,0.5,0.0,0.7910161018371582,0.15208561718463898,he_035,humaneval,signature_rename,0
0.6470011472702026,0.1,3.4583333333333335,2.5,1.0,0.0,0.04,1.25,0.0,1.0,0.5,0.0,0.866316020488739,0.1485881507396698,he_035,humaneval,inject_false_constraint,0
0.6115947961807251,0.1,3.4583333333333335,3.0,0.8,0.0,0.04,1.25,0.0,1.0,0.5,0.0,0.866316020488739,0.1485881507396698,he_035,humaneval,fake_completion,0
0.7331987619400024,0.9,7.766666666666667,13.5,0.8,0.008733624454148471,0.3142857142857143,1.0,0.004291845493562232,1.0,0.5,0.0,0.9871187210083008,0.06719329208135605,he_036,humaneval,signature_rename,0
